track_id,genre
115597,Experimental
46840,Pop
126550,Experimental
152545,Hip-Hop
113165,Rock
32525,Pop
11508,Folk
112088,Experimental
11770,Hip-Hop
114412,Rock
40122,Experimental
56499,Hip-Hop
52040,Pop
116883,Folk
87189,Pop
20704,Pop
145729,Hip-Hop
136094,Rock
129093,Rock
63805,Hip-Hop
146681,Hip-Hop
93942,Pop
44793,Experimental
97586,Folk
38522,Rock
106877,Rock
7712,Folk
145744,Hip-Hop
6856,Folk
120188,Pop
8259,Folk
127290,Pop
136275,Rock
123981,Hip-Hop
113026,Pop
56888,Experimental
63908,Hip-Hop
4685,Hip-Hop
3920,Folk
42046,Hip-Hop
40541,Hip-Hop
13804,Hip-Hop
67364,Pop
40232,Folk
50752,Rock
145747,Hip-Hop
116547,Rock
814,Folk
132779,Pop
74383,Experimental
97697,Hip-Hop
124461,Rock
149138,Hip-Hop
38435,Rock
135010,Folk
22001,Pop
10675,Rock
70875,Pop
86118,Pop
111375,Pop
85427,Pop
124702,Hip-Hop
141304,Hip-Hop
29128,Pop
9888,Folk
125194,Folk
125190,Folk
109670,Hip-Hop
73175,Folk
56650,Rock
13556,Rock
60331,Experimental
145745,Hip-Hop
67334,Pop
91900,Experimental
126294,Rock
132436,Experimental
57891,Rock
48864,Experimental
39661,Pop
74388,Experimental
142086,Hip-Hop
106951,Rock
97590,Folk
4777,Rock
14733,Rock
24429,Hip-Hop
3904,Folk
141877,Rock
89485,Folk
21707,Folk
110264,Hip-Hop
148537,Rock
86077,Experimental
91443,Folk
116372,Experimental
60477,Hip-Hop
87323,Pop
57176,Folk
11504,Folk
21409,Pop
105720,Experimental
64523,Hip-Hop
43859,Hip-Hop
93076,Folk
105142,Rock
110266,Hip-Hop
123868,Rock
20296,Experimental
30043,Hip-Hop
112781,Experimental
89848,Hip-Hop
75419,Hip-Hop
96731,Folk
40121,Experimental
62655,Rock
13930,Folk
70423,Pop
12052,Folk
88861,Folk
998,Experimental
122004,Experimental
127184,Pop
113024,Pop
75314,Pop
68410,Experimental
84158,Folk
92540,Folk
27547,Pop
30059,Hip-Hop
67784,Hip-Hop
129695,Folk
62448,Pop
39188,Experimental
135373,Rock
4068,Folk
48269,Experimental
129096,Rock
51114,Experimental
98581,Hip-Hop
30090,Experimental
118957,Experimental
131624,Experimental
78984,Hip-Hop
47197,Experimental
132171,Rock
138067,Pop
118277,Experimental
63733,Hip-Hop
98229,Experimental
134610,Hip-Hop
75782,Rock
127190,Folk
28274,Rock
110437,Folk
8416,Experimental
75380,Hip-Hop
144170,Hip-Hop
111186,Folk
132449,Folk
138216,Hip-Hop
137723,Rock
74386,Experimental
105826,Hip-Hop
13325,Rock
84154,Folk
126403,Pop
137624,Rock
5159,Folk
99214,Experimental
119726,Folk
75389,Hip-Hop
87968,Folk
147020,Hip-Hop
109357,Rock
9477,Experimental
109235,Rock
53379,Hip-Hop
128666,Hip-Hop
108837,Hip-Hop
53729,Experimental
88879,Folk
97588,Folk
46842,Pop
51261,Pop
44801,Experimental
99096,Hip-Hop
16338,Pop
105119,Rock
71251,Hip-Hop
56552,Rock
22000,Pop
89846,Hip-Hop
66180,Folk
101868,Experimental
24422,Hip-Hop
143095,Rock
46718,Experimental
107851,Folk
43691,Experimental
10435,Experimental
64515,Hip-Hop
132019,Experimental
66483,Experimental
43761,Folk
31356,Folk
92874,Experimental
108429,Pop
110261,Hip-Hop
105825,Hip-Hop
130168,Hip-Hop
57939,Experimental
42129,Experimental
73174,Folk
19708,Folk
85952,Pop
130683,Rock
142517,Folk
109685,Hip-Hop
11791,Hip-Hop
44780,Experimental
58174,Pop
119988,Hip-Hop
87972,Folk
55714,Rock
71695,Hip-Hop
113934,Pop
87193,Pop
69563,Hip-Hop
106339,Folk
122082,Rock
141179,Pop
108961,Rock
46846,Pop
48862,Experimental
7378,Experimental
55119,Hip-Hop
108809,Hip-Hop
57180,Pop
11298,Hip-Hop
127274,Pop
135371,Rock
86117,Pop
127726,Folk
66649,Pop
105912,Rock
97814,Experimental
63159,Experimental
24975,Experimental
51655,Folk
72046,Folk
56497,Hip-Hop
107048,Pop
98553,Hip-Hop
35008,Experimental
133275,Rock
73318,Rock
96560,Rock
98619,Hip-Hop
110205,Experimental
113025,Pop
74377,Experimental
61174,Hip-Hop
138068,Pop
119584,Pop
42844,Rock
55436,Pop
32334,Pop
108745,Hip-Hop
45523,Folk
11198,Pop
12174,Hip-Hop
52389,Pop
126103,Pop
92889,Experimental
69825,Hip-Hop
136706,Rock
98552,Hip-Hop
94467,Hip-Hop
66538,Rock
106563,Rock
26302,Folk
85691,Folk
119134,Experimental
12521,Rock
58170,Pop
50448,Rock
3721,Rock
94468,Hip-Hop
75748,Hip-Hop
73087,Pop
116388,Hip-Hop
113950,Folk
32336,Pop
145553,Folk
12047,Folk
122935,Folk
123641,Hip-Hop
113037,Hip-Hop
108300,Folk
91162,Pop
34994,Experimental
107567,Folk
64861,Experimental
4785,Rock
117991,Experimental
73585,Folk
71709,Pop
52393,Pop
133332,Experimental
74389,Experimental
72056,Folk
65685,Folk
67793,Hip-Hop
118496,Experimental
121256,Rock
126510,Experimental
131453,Pop
109977,Pop
41819,Pop
62748,Pop
37859,Rock
122362,Folk
38902,Experimental
140873,Folk
128699,Rock
17499,Hip-Hop
148290,Pop
113822,Rock
57822,Hip-Hop
207,Folk
137896,Hip-Hop
73172,Folk
144212,Hip-Hop
111371,Pop
123278,Rock
26036,Hip-Hop
615,Experimental
67557,Rock
114044,Hip-Hop
122190,Rock
822,Pop
56929,Rock
12066,Folk
71938,Rock
108313,Experimental
43883,Experimental
113935,Pop
127277,Pop
124484,Pop
144492,Experimental
140791,Folk
10521,Experimental
70207,Hip-Hop
56640,Hip-Hop
97211,Folk
12045,Folk
13768,Hip-Hop
1925,Folk
144544,Folk
96695,Folk
105451,Hip-Hop
81083,Folk
132786,Pop
68549,Experimental
66782,Pop
27551,Pop
98551,Hip-Hop
83969,Rock
45520,Folk
122810,Pop
62753,Pop
58060,Experimental
144476,Folk
154414,Pop
92538,Folk
67829,Experimental
5156,Folk
123971,Hip-Hop
138212,Hip-Hop
65756,Pop
59078,Rock
85600,Pop
134594,Rock
130963,Folk
112315,Rock
70403,Rock
4067,Folk
142085,Hip-Hop
574,Rock
127909,Pop
70174,Experimental
88856,Folk
112468,Hip-Hop
10992,Folk
98567,Hip-Hop
71246,Hip-Hop
10441,Folk
11059,Folk
130650,Hip-Hop
140583,Folk
89473,Hip-Hop
